,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_convergence_interval,param_gate_arg2,param_gate_fn,param_init_scale,param_n_iters,param_n_ops,param_n_ops_score,param_n_samples,param_n_samples_score,param_n_sigmas,param_stepsize,param_turbo,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,27307.514418125153,0.0,154.58167386054993,0.0,1000,2,local_gates,0.0001,1000,1000,1000,1000,1000,3,0.0001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.0001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.0001, 'turbo': 10}",-0.009862413541969059,-0.009862413541969059,0.0,7
1,27283.78365278244,0.0,159.01205348968506,0.0,1000,2,local_gates,0.0001,1000,1000,1000,1000,1000,3,0.001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.0001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.001, 'turbo': 10}",-0.007241498882619909,-0.007241498882619909,0.0,3
2,27312.726507663727,0.0,152.811621427536,0.0,1000,2,local_gates,0.0001,1000,1000,1000,1000,1000,3,0.01,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.0001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.01, 'turbo': 10}",-0.03686937648691509,-0.03686937648691509,0.0,11
3,27288.157809734344,0.0,161.85304498672485,0.0,1000,2,local_gates,0.001,1000,1000,1000,1000,1000,3,0.0001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.0001, 'turbo': 10}",-0.008391824000632852,-0.008391824000632852,0.0,6
4,27321.942717552185,0.0,147.19263744354248,0.0,1000,2,local_gates,0.001,1000,1000,1000,1000,1000,3,0.001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.001, 'turbo': 10}",-0.007201529181384865,-0.007201529181384865,0.0,1
5,27326.849045038223,0.0,143.34795928001404,0.0,1000,2,local_gates,0.001,1000,1000,1000,1000,1000,3,0.01,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.001, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.01, 'turbo': 10}",-0.014750582922476515,-0.014750582922476515,0.0,9
6,27297.679032087326,0.0,156.86299443244934,0.0,1000,2,local_gates,0.01,1000,1000,1000,1000,1000,3,0.0001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.01, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.0001, 'turbo': 10}",-0.007512894434615074,-0.007512894434615074,0.0,5
7,27269.246193408966,0.0,164.79006338119507,0.0,1000,2,local_gates,0.01,1000,1000,1000,1000,1000,3,0.001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.01, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.001, 'turbo': 10}",-0.007216419264707503,-0.007216419264707503,0.0,2
8,14101.866090774536,0.0,89.05488085746765,0.0,1000,2,local_gates,0.01,1000,1000,1000,1000,1000,3,0.01,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.01, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.01, 'turbo': 10}",-0.014913688618461521,-0.014913688618461521,0.0,10
9,14082.125019788742,0.0,90.24416756629944,0.0,1000,2,local_gates,-1.0,1000,1000,1000,1000,1000,3,0.0001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': -1.0, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.0001, 'turbo': 10}",-0.012617363407023147,-0.012617363407023147,0.0,8
10,14103.9311773777,0.0,82.46073603630066,0.0,1000,2,local_gates,-1.0,1000,1000,1000,1000,1000,3,0.001,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': -1.0, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.001, 'turbo': 10}",-0.007336554642053336,-0.007336554642053336,0.0,4
11,14115.75050854683,0.0,73.13526391983032,0.0,1000,2,local_gates,-1.0,1000,1000,1000,1000,1000,3,0.01,10,"{'convergence_interval': 1000, 'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': -1.0, 'n_iters': 1000, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'stepsize': 0.01, 'turbo': 10}",-0.037000721243197456,-0.037000721243197456,0.0,12
